Date,Time,Source IP Address,Destination IP address,Source Port,Destination Port
Jan 29,01:37:31,192.168.17.24,192.168.10.60,138,138
Jan 29,01:38:36,78.148.104.253,216.58.112.55,5736,25
Jan 29,01:40:26,192.168.17.24,192.168.9.51,138,138
Jan 29,01:40:26,192.168.17.24,192.168.10.60,138,138
Jan 29,01:40:26,192.168.17.24,192.168.9.51,138,138
Jan 29,01:40:26,192.168.17.24,192.168.10.60,138,138
Jan 29,01:43:14,71.104.50.6,216.58.112.55,50158,25
Jan 29,01:43:22,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:43:27,192.168.17.24,192.168.9.51,138,138
Jan 29,01:43:27,192.168.17.24,192.168.10.60,138,138
Jan 29,01:43:27,192.168.17.24,192.168.9.51,138,138
Jan 29,01:43:27,192.168.17.24,192.168.10.60,138,138
Jan 29,01:43:31,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:43:46,60.21.103.252,216.58.112.55,58025,25
Jan 29,01:43:49,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:44:25,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:45:05,69.115.209.62,216.58.112.55,52728,40686
Jan 29,01:45:05,99.251.241.22,216.58.112.55,64158,40686
Jan 29,01:45:05,72.129.201.114,216.58.112.55,58327,40686
Jan 29,01:45:07,72.129.201.114,216.58.112.55,58327,40686
Jan 29,01:45:08,69.115.209.62,216.58.112.55,52728,40686
Jan 29,01:45:25,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:46:25,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:46:36,192.168.17.24,192.168.9.51,138,138
Jan 29,01:46:36,192.168.17.24,192.168.10.60,138,138
Jan 29,01:46:36,192.168.17.24,192.168.9.51,138,138
Jan 29,01:46:36,192.168.17.24,192.168.10.60,138,138
Jan 29,01:47:25,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:48:13,221.208.208.90,216.58.112.55,38015,1026
Jan 29,01:48:13,221.208.208.90,216.58.112.55,38015,1027
Jan 29,01:48:14,221.208.208.90,216.58.112.55,38015,1027
Jan 29,01:48:19,109.140.157.77,216.58.112.55,31105,1026
Jan 29,01:48:25,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:49:25,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:49:34,192.168.17.24,192.168.9.51,138,138
Jan 29,01:49:34,192.168.17.24,192.168.10.60,138,138
Jan 29,01:49:34,192.168.17.24,192.168.9.51,138,138
Jan 29,01:49:34,192.168.17.24,192.168.10.60,138,138
Jan 29,01:50:01,82.35.230.228,216.58.112.55,4316,25
Jan 29,01:50:01,82.35.230.228,216.58.112.55,4317,25
Jan 29,01:50:01,82.35.230.228,216.58.112.55,4320,25
Jan 29,01:50:01,82.35.230.228,216.58.112.55,4323,25
Jan 29,01:50:06,77.91.200.130,216.58.112.55,58376,113
Jan 29,01:50:25,194.90.6.44,216.58.112.55,25,6351
Jan 29,01:51:54,65.26.47.241,216.58.112.55,48860,25
Jan 29,01:52:40,192.168.17.24,192.168.9.51,138,138
Jan 29,01:52:40,192.168.17.24,192.168.10.60,138,138
Jan 29,01:52:40,192.168.17.24,192.168.9.51,138,138
Jan 29,01:52:40,192.168.17.24,192.168.10.60,138,138
Jan 29,01:53:26,124.121.192.16,216.58.112.55,57195,25
Jan 29,01:53:56,192.168.17.11,10.97.14.25,123,123
Jan 29,01:55:35,192.168.17.24,192.168.9.51,138,138
Jan 29,01:55:35,192.168.17.24,192.168.10.60,138,138
Jan 29,01:55:35,192.168.17.24,192.168.9.51,138,138
Jan 29,01:55:35,192.168.17.24,192.168.10.60,138,138
Jan 29,01:58:36,192.168.17.24,192.168.9.51,138,138
Jan 29,01:58:36,192.168.17.24,192.168.10.60,138,138
Jan 29,01:58:36,192.168.17.24,192.168.9.51,138,138
Jan 29,01:58:36,192.168.17.24,192.168.10.60,138,138
Jan 29,01:59:40,78.148.58.129,216.58.112.55,3089,25
Jan 29,01:59:59,201.231.47.57,216.58.112.55,3432,25
Jan 29,02:00:20,24.64.65.201,216.58.112.55,26100,1026
Jan 29,02:00:20,24.64.65.201,216.58.112.55,26100,1027
Jan 29,02:00:20,24.64.65.201,216.58.112.55,26100,1028
Jan 29,02:01:14,190.189.106.45,216.58.112.55,4941,25
Jan 29,02:01:54,192.168.17.24,192.168.9.51,138,138
Jan 29,02:01:54,192.168.17.24,192.168.10.60,138,138
Jan 29,02:01:54,192.168.17.24,192.168.9.51,138,138
Jan 29,02:01:54,192.168.17.24,192.168.10.60,138,138
Jan 29,02:04:42,71.194.107.51,216.58.112.55,1881,40686
Jan 29,02:04:42,74.12.248.246,216.58.112.55,60066,40686
Jan 29,02:04:42,98.207.166.40,216.58.112.55,61989,40686
Jan 29,02:04:42,70.189.221.153,216.58.112.55,39280,40686
Jan 29,02:04:42,68.206.75.25,216.58.112.55,18422,40686
Jan 29,02:04:54,192.168.17.24,192.168.9.51,138,138
Jan 29,02:04:54,192.168.17.24,192.168.10.60,138,138
Jan 29,02:04:54,192.168.17.24,192.168.9.51,138,138
Jan 29,02:04:54,192.168.17.24,192.168.10.60,138,138
Jan 29,02:07:11,86.101.52.114,216.58.112.55,59827,25
Jan 29,02:07:53,192.168.17.24,192.168.9.51,138,138
Jan 29,02:07:53,192.168.17.24,192.168.10.60,138,138
Jan 29,02:07:53,192.168.17.24,192.168.9.51,138,138
Jan 29,02:07:53,192.168.17.24,192.168.10.60,138,138
Jan 29,02:11:03,192.168.17.11,10.97.14.25,123,123
Jan 29,02:11:03,192.168.17.24,192.168.9.51,138,138
Jan 29,02:11:03,192.168.17.24,192.168.10.60,138,138
Jan 29,02:11:03,192.168.17.24,192.168.9.51,138,138
Jan 29,02:11:03,192.168.17.24,192.168.10.60,138,138
Jan 29,02:11:22,5.126.53.110,216.58.112.55,31105,1026
Jan 29,02:13:10,211.200.56.60,216.58.112.55,1265,139
Jan 29,02:13:13,211.200.56.60,216.58.112.55,1265,139
Jan 29,02:14:08,192.168.17.24,192.168.9.51,138,138
Jan 29,02:14:08,192.168.17.24,192.168.10.60,138,138
Jan 29,02:14:08,192.168.17.24,192.168.9.51,138,138
Jan 29,02:14:08,192.168.17.24,192.168.10.60,138,138
Jan 29,02:14:35,52.52.117.156,216.58.112.55,31105,1026
Jan 29,02:15:05,83.8.141.56,216.58.112.55,1212,40686
Jan 29,02:15:05,24.67.56.239,216.58.112.55,2921,40686
Jan 29,02:15:06,24.166.109.127,216.58.112.55,3430,40686
Jan 29,02:15:06,72.229.247.131,216.58.112.55,1880,40686
Jan 29,02:15:08,24.67.56.239,216.58.112.55,2921,40686
Jan 29,02:15:32,75.138.144.249,216.58.112.55,1831,40686
Jan 29,02:15:47,75.138.144.249,216.58.112.55,1832,40686
Jan 29,02:17:08,192.168.17.24,192.168.9.51,138,138
Jan 29,02:17:08,192.168.17.24,192.168.10.60,138,138
Jan 29,02:17:08,192.168.17.24,192.168.9.51,138,138
Jan 29,02:17:08,192.168.17.24,192.168.10.60,138,138
Jan 29,02:17:20,192.168.17.113,207.68.178.56,2596,80
Jan 29,02:17:22,192.168.17.113,207.68.178.56,2596,80
Jan 29,02:17:27,192.168.17.113,207.68.178.56,2596,80
Jan 29,02:17:37,192.168.17.113,207.68.178.56,2596,80
Jan 29,02:17:57,192.168.17.113,207.68.178.56,2596,80
Jan 29,02:18:02,218.249.243.30,216.58.112.55,65305,2967
Jan 29,02:18:37,192.168.17.113,207.68.178.56,2596,80
Jan 29,02:19:24,85.75.51.53,216.58.112.55,2685,25
Jan 29,02:19:28,69.31.42.66,216.58.112.55,39339,113
Jan 29,02:19:40,221.217.183.227,216.58.112.55,3790,25
Jan 29,02:19:51,168.18.80.183,216.58.112.55,2773,25
Jan 29,02:19:56,85.137.113.62,216.58.112.55,1888,25
Jan 29,02:20:04,192.168.17.24,192.168.9.51,138,138
Jan 29,02:20:04,192.168.17.24,192.168.10.60,138,138
Jan 29,02:20:04,192.168.17.24,192.168.9.51,138,138
Jan 29,02:20:04,192.168.17.24,192.168.10.60,138,138
Jan 29,02:20:17,218.9.66.130,216.58.112.55,1845,1434
Jan 29,02:23:01,24.64.139.148,216.58.112.55,29246,1026
Jan 29,02:23:01,24.64.139.148,216.58.112.55,29246,1027
Jan 29,02:23:01,24.64.139.148,216.58.112.55,29246,1028
Jan 29,02:23:04,192.168.17.24,192.168.9.51,138,138
Jan 29,02:23:04,192.168.17.24,192.168.10.60,138,138
Jan 29,02:23:04,192.168.17.24,192.168.9.51,138,138
Jan 29,02:23:04,192.168.17.24,192.168.10.60,138,138
